table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,,,"April 1, 2000",
,,,"July 1,
2009","July 1,
2008","July 1,
2007","July 1,
2006","July 1,
2005","July 1,
2004","July 1,
2003","July 1,
2002","July 1,
2001","July 1,
2000",Estimates base,Census
,,Metropolitan statistical areas,,,,,,,,,,,,
,,(Titles of metropolitan divisions are indented.),,,,,,,,,,,,
27180,,"Jackson, TN","113,629","113,008","112,694","112,160","110,772","110,001","109,259","109,340","108,817","107,581","107,379","107,377"
27260,,"Jacksonville, FL","1,328,144","1,316,528","1,301,097","1,279,132","1,248,524","1,222,731","1,194,706","1,172,801","1,148,044","1,126,224","1,122,750","1,122,750"
27340,,"Jacksonville, NC","173,064","169,233","163,613","161,054","158,942","161,242","156,018","153,280","149,659","149,774","150,348","150,355"
27500,,"Janesville, WI","160,155","160,186","159,449","158,042","156,315","155,320","153,952","153,509","153,151","152,499","152,307","152,307"
27620,,"Jefferson City, MO","147,438","146,465","145,265","144,548","143,439","141,835","142,673","141,968","140,916","140,320","140,051","140,052"
27740,,"Johnson City, TN","197,381","195,783","193,357","191,544","188,888","187,178","186,119","183,736","182,085","181,989","181,607","181,607"
27780,,"Johnstown, PA","143,998","144,488","145,061","145,822","146,726","147,704","148,710","149,851","150,995","152,240","152,630","152,598"
27860,,"Jonesboro, AR","120,139","118,135","116,264","114,618","112,539","111,367","110,156","109,215","108,785","108,135","107,762","107,762"
27900,,"Joplin, MO","174,300","172,615","171,014","168,415","165,910","163,829","161,913","160,099","158,609","157,718","157,322","157,322"
28020,,"Kalamazoo-Portage, MI","326,634","324,135","322,566","321,523","320,539","320,051","321,092","319,048","316,785","315,398","314,866","314,866"
28100,,"Kankakee-Bradley, IL","113,215","112,719","111,725","110,108","108,453","107,424","106,096","105,416","104,816","103,879","103,833","103,833"
28140,,"Kansas City, MO-KS","2,067,585","2,046,083","2,011,857","1,984,954","1,958,504","1,935,840","1,912,368","1,890,419","1,865,245","1,842,924","1,836,425","1,836,038"
28420,,"Kennewick-Pasco-Richland, WA","245,649","237,206","228,962","223,720","218,631","213,478","208,714","202,549","196,382","192,710","191,825","191,822"
28660,,"Killeen-Temple-Fort Hood, TX","379,231","379,569","371,643","358,547","354,424","348,412","346,490","340,032","334,474","332,022","330,709","330,714"
28700,,"Kingsport-Bristol-Bristol, TN-VA","305,629","304,679","303,577","301,615","300,078","298,765","298,939","298,432","298,222","298,438","298,486","298,484"
28740,,"Kingston, NY","181,440","181,722","181,530","181,551","181,305","180,950","180,223","179,721","178,272","177,831","177,694","177,749"
28940,,"Knoxville, TN","699,247","692,210","682,143","671,227","658,316","648,530","641,551","632,944","625,319","617,573","616,077","616,079"
29020,,"Kokomo, IN","98,787","99,450","99,810","100,055","100,600","100,660","100,923","101,055","101,419","101,528","101,541","101,541"
29100,,"La Crosse, WI-MN","132,923","131,728","131,010","129,842","129,267","128,782","128,614","128,194","127,604","127,020","126,838","126,838"
29140,,"Lafayette, IN","196,329","193,753","191,379","188,814","185,290","182,831","181,955","180,791","180,192","178,844","178,543","178,541"
29180,,"Lafayette, LA","263,171","259,773","256,826","254,839","247,352","245,493","243,494","242,115","239,893","239,107","238,906","239,086"
29340,,"Lake Charles, LA","194,138","192,972","191,546","190,401","193,975","193,715","193,277","192,578","192,809","193,463","193,565","193,568"
29420,,"Lake Havasu City-Kingman, AZ","194,825","195,601","195,852","192,724","185,940","178,313","171,019","165,177","159,840","156,194","155,032","155,032"
29460,,"Lakeland-Winter Haven, FL","583,403","580,282","573,483","557,477","538,638","521,029","508,118","498,428","491,393","485,378","483,924","483,924"
29540,,"Lancaster, PA","507,766","503,807","499,364","494,393","489,258","485,676","481,803","478,078","474,420","471,818","470,660","470,658"
29620,,"Lansing-East Lansing, MI","453,603","454,605","455,516","455,947","456,491","456,759","454,600","453,042","450,807","448,543","447,821","447,728"
29700,,"Laredo, TX","241,438","235,937","230,848","225,985","220,968","215,775","210,229","205,096","199,914","194,523","193,117","193,117"
29740,,"Las Cruces, NM","206,419","201,428","198,205","193,779","189,265","184,935","182,147","178,473","176,460","174,973","174,682","174,682"
29820,,"Las Vegas-Paradise, NV","1,902,834","1,879,093","1,838,635","1,778,129","1,708,846","1,646,875","1,572,924","1,515,571","1,456,549","1,393,370","1,375,738","1,375,765"
29940,,"Lawrence, KS","116,383","114,752","113,409","112,559","111,519","108,385","106,231","104,408","102,292","100,295","99,962","99,962"
30020,,"Lawton, OK","113,228","112,249","114,503","112,293","111,866","113,630","110,484","112,009","112,236","114,675","114,998","114,996"
30140,,"Lebanon, PA","130,506","129,302","128,197","126,586","124,819","123,597","122,426","121,313","120,825","120,416","120,326","120,327"
30300,,"Lewiston, ID-WA","60,643","60,260","59,935","59,641","58,966","58,589","58,196","57,635","57,470","57,952","57,961","57,961"
30340,,"Lewiston-Auburn, ME","106,539","107,061","106,695","106,971","106,560","106,324","105,786","104,873","104,148","103,845","103,793","103,793"
30460,,"Lexington-Fayette, KY","470,849","464,042","455,492","448,413","439,164","432,055","426,187","419,455","415,000","409,656","408,326","408,326"
30620,,"Lima, OH","104,357","104,826","104,895","105,126","105,528","105,780","106,527","107,845","108,193","108,577","108,473","108,473"
30700,,"Lincoln, NE","298,012","294,665","290,809","287,388","284,161","280,763","278,417","274,541","270,981","267,955","266,787","266,787"
30780,,"Little Rock-North Little Rock-Conway, AR","685,488","675,921","666,490","657,664","645,679","637,233","629,617","623,045","617,414","612,149","610,514","610,518"
30860,,"Logan, UT-ID","127,945","124,362","120,837","118,402","116,548","114,130","111,851","108,937","105,248","103,220","102,720","102,720"
30980,,"Longview, TX","206,874","204,496","202,903","201,200","199,424","198,362","197,353","196,345","194,657","194,010","194,042","194,042"
31020,,"Longview, WA","101,966","101,537","100,557","98,953","96,359","95,424","94,427","94,313","93,623","93,012","92,948","92,948"
31100,,"Los Angeles-Long Beach-Santa Ana, CA","12,874,797","12,768,395","12,692,603","12,713,660","12,761,175","12,764,590","12,717,433","12,634,977","12,525,736","12,398,950","12,365,628","12,365,627"
31100,31084,".Los Angeles-Long Beach-Glendale, CA","9,848,011","9,779,254","9,734,701","9,760,598","9,803,912","9,808,494","9,777,324","9,717,871","9,634,764","9,542,578","9,519,331","9,519,338"
31100,42044,".Santa Ana-Anaheim-Irvine, CA","3,026,786","2,989,141","2,957,902","2,953,062","2,957,263","2,956,096","2,940,109","2,917,106","2,890,972","2,856,372","2,846,297","2,846,289"
31140,,"Louisville/Jefferson County, KY-IN","1,258,577","1,249,739","1,237,027","1,222,544","1,209,493","1,200,010","1,190,011","1,180,018","1,172,461","1,165,132","1,162,414","1,161,975"
31180,,"Lubbock, TX","276,659","271,582","269,144","266,327","262,771","261,093","259,146","255,764","253,407","250,130","249,697","249,700"
31340,,"Lynchburg, VA","247,447","245,579","243,385","240,145","235,987","232,679","231,160","229,459","229,138","228,918","228,616","228,616"
31420,,"Macon, GA","231,576","230,735","229,997","229,027","227,607","227,014","225,715","224,432","222,792","222,387","222,385","222,368"
31460,,"Madera-Chowchilla, CA","148,632","147,577","145,223","142,865","139,672","136,516","132,017","127,841","125,423","123,566","123,109","123,109"
31540,,"Madison, WI","570,025","562,065","554,887","547,093","540,145","533,567","526,419","519,570","511,777","504,044","501,773","501,774"
31700,,"Manchester-Nashua, NH","405,906","404,074","402,731","401,242","398,927","396,542","393,018","390,921","388,182","382,409","380,843","380,841"
31740,,"Manhattan, KS","123,086","122,049","118,416","117,083","114,606","112,990","112,656","110,253","109,643","109,039","109,008","108,999"
31860,,"Mankato-North Mankato, MN","93,234","92,576","91,761","90,877","89,434","88,760","88,241","87,414","86,695","85,850","85,708","85,712"
31900,,"Mansfield, OH","124,490","125,081","126,039","126,398","126,946","127,459","127,826","128,068","128,009","128,797","128,852","128,852"
32580,,"McAllen-Edinburg-Mission, TX","741,152","721,275","701,862","683,719","665,475","646,523","627,164","607,449","588,533","573,398","569,471","569,463"
32780,,"Medford, OR","201,286","200,298","198,346","196,165","194,087","191,697","189,469","186,567","183,797","181,798","181,275","181,269"
32820,,"Memphis, TN-MS-AR","1,304,926","1,298,529","1,290,610","1,280,666","1,261,429","1,249,048","1,238,075","1,226,669","1,216,654","1,208,269","1,205,196","1,205,204"
32900,,"Merced, CA","245,321","244,356","243,083","240,516","237,901","233,529","228,993","223,666","217,937","212,122","211,132","210,554"
33100,,"Miami-Fort Lauderdale-Pompano Beach, FL","5,547,051","5,501,752","5,465,183","5,466,743","5,443,159","5,362,678","5,280,671","5,212,602","5,120,256","5,025,806","5,007,992","5,007,564"
33100,22744,".Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","1,766,476","1,753,262","1,746,968","1,762,334","1,766,620","1,741,272","1,719,073","1,698,735","1,667,903","1,631,723","1,623,016","1,623,018"
33100,33124,".Miami-Miami Beach-Kendall, FL","2,500,625","2,478,745","2,453,567","2,438,702","2,413,583","2,381,215","2,352,658","2,328,122","2,294,643","2,258,765","2,253,786","2,253,362"
33100,48424,".West Palm Beach-Boca Raton-Boynton Beach, FL","1,279,950","1,269,745","1,264,648","1,265,707","1,262,956","1,240,191","1,208,940","1,185,745","1,157,710","1,135,318","1,131,190","1,131,184"
33140,,"Michigan City-La Porte, IN","111,063","110,754","110,367","109,179","109,145","108,590","108,761","109,441","110,061","110,158","110,106","110,106"
33260,,"Midland, TX","132,316","129,159","126,082","123,391","120,487","119,145","117,957","116,953","115,779","115,487","116,009","116,009"
33340,,"Milwaukee-Waukesha-West Allis, WI","1,559,667","1,550,451","1,544,818","1,540,301","1,536,320","1,533,932","1,528,417","1,521,102","1,511,299","1,502,305","1,500,743","1,500,741"
33460,,"Minneapolis-St. Paul-Bloomington, MN-WI","3,269,814","3,237,612","3,204,196","3,167,666","3,132,772","3,106,569","3,078,253","3,053,303","3,024,111","2,981,616","2,968,812","2,968,806"
33540,,"Missoula, MT","108,623","107,552","105,851","104,095","102,064","100,757","99,832","98,918","97,400","96,170","95,799","95,802"
33660,,"Mobile, AL","411,721","409,132","405,234","402,199","398,369","397,521","397,707","398,417","400,094","400,061","399,843","399,843"
33700,,"Modesto, CA","510,385","507,450","506,411","502,989","498,592","491,558","486,512","477,197","463,783","449,702","446,998","446,997"
33740,,"Monroe, LA","174,086","172,981","172,588","172,859","171,172","171,119","170,646","169,977","169,405","170,043","170,053","170,053"
33780,,"Monroe, MI","152,721","152,870","153,360","153,310","152,234","151,043","149,664","148,583","147,645","146,412","145,945","145,945"
33860,,"Montgomery, AL","366,401","365,596","365,605","362,660","356,229","353,327","351,715","350,374","348,352","347,002","346,522","346,528"
34060,,"Morgantown, WV","120,327","118,931","117,927","117,039","115,988","114,911","114,103","112,798","111,942","111,190","111,197","111,200"
34100,,"Morristown, TN","137,612","136,579","134,979","132,542","130,104","128,254","126,853","125,209","124,775","123,564","123,081","123,081"
34580,,"Mount Vernon-Anacortes, WA","119,534","118,373","116,261","114,416","112,176","110,243","108,319","106,208","104,876","103,475","102,975","102,979"
34620,,"Muncie, IN","115,192","114,897","115,293","115,619","116,737","117,797","119,020","119,400","120,005","118,733","118,769","118,769"
34740,,"Muskegon-Norton Shores, MI","173,951","174,569","174,259","174,092","173,907","173,054","172,480","171,811","171,242","170,485","170,200","170,200"
34820,,"Myrtle Beach-North Myrtle Beach-Conway, SC","263,868","258,790","250,904","240,735","228,708","218,220","211,086","206,280","201,918","198,132","196,660","196,629"
34900,,"Napa, CA","134,650","133,591","131,949","130,818","129,859","130,007","129,800","128,584","126,731","124,545","124,279","124,279"
34940,,"Naples-Marco Island, FL","318,537","315,533","313,463","311,650","306,640","295,453","284,896","275,367","264,232","254,070","251,377","251,377"
34980,,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,582,264","1,556,368","1,524,920","1,489,156","1,450,538","1,416,452","1,386,743","1,363,834","1,343,263","1,317,580","1,311,789","1,311,789"
35300,,"New Haven-Milford, CT","848,006","845,573","843,619","841,055","839,408","838,429","837,258","832,376","828,610","824,992","824,011","824,008"
35380,,"New Orleans-Metairie-Kenner, LA","1,189,981","1,168,547","1,109,415","987,535","1,313,460","1,314,721","1,312,039","1,311,390","1,311,131","1,315,616","1,316,512","1,316,510"
35620,,"New York-Northern New Jersey-Long Island, NY-NJ-PA","19,069,796","18,968,501","18,901,167","18,825,633","18,798,114","18,747,431","18,671,320","18,590,085","18,490,029","18,352,743","18,323,439","18,323,002"
35620,20764,".Edison-New Brunswick, NJ","2,335,390","2,320,010","2,307,136","2,296,531","2,291,333","2,278,313","2,261,227","2,239,519","2,210,150","2,182,433","2,173,876","2,173,869"
35620,35004,".Nassau-Suffolk, NY","2,875,904","2,866,586","2,864,793","2,859,081","2,859,479","2,856,427","2,840,348","2,817,908","2,791,883","2,759,802","2,753,918","2,753,913"
35620,35084,".Newark-Union, NJ-PA","2,126,269","2,117,049","2,114,338","2,115,098","2,118,859","2,123,113","2,123,768","2,119,452","2,110,530","2,100,567","2,097,523","2,098,843"
35620,35644,".New York-White Plains-Wayne, NY-NJ","11,732,233","11,664,856","11,614,900","11,554,923","11,528,443","11,489,578","11,445,977","11,413,206","11,377,466","11,309,941","11,298,122","11,296,377"
35660,,"Niles-Benton Harbor, MI","160,472","160,319","159,886","159,658","160,310","161,274","161,501","161,541","161,683","162,556","162,455","162,453"
35980,,"Norwich-New London, CT","266,830","265,830","264,481","268,331","265,443","266,890","265,341","263,098","261,007","259,575","259,106","259,088"
36100,,"Ocala, FL","328,547","327,172","323,032","313,964","301,714","289,817","279,156","271,261","264,393","260,285","258,914","258,916"
36140,,"Ocean City, NJ","96,091","96,470","96,700","97,814","98,558","99,920","101,335","101,421","101,864","102,307","102,326","102,326"
36220,,"Odessa, TX","134,625","131,180","128,874","126,076","124,187","123,243","122,021","121,768","120,591","120,685","121,123","121,123"
36260,,"Ogden-Clearfield, UT","541,569","530,998","517,370","503,264","491,114","480,882","471,114","461,783","452,750","444,874","442,656","442,656"
36420,,"Oklahoma City, OK","1,227,278","1,207,519","1,191,244","1,174,737","1,155,093","1,140,779","1,131,487","1,120,187","1,107,695","1,097,874","1,095,422","1,095,421"
36500,,"Olympia, WA","250,979","245,571","238,717","233,335","227,638","223,535","220,081","216,607","212,544","208,304","207,353","207,355"
36540,,"Omaha-Council Bluffs, NE-IA","849,517","839,265","829,183","820,051","810,493","800,459","790,535","782,384","775,380","769,117","767,144","767,041"
36740,,"Orlando-Kissimmee, FL","2,082,421","2,060,968","2,034,878","1,999,994","1,939,766","1,866,597","1,803,474","1,756,852","1,708,955","1,656,835","1,644,558","1,644,561"
36780,,"Oshkosh-Neenah, WI","163,370","162,099","161,470","160,456","159,536","158,614","158,294","158,431","157,799","157,082","156,763","156,763"
36980,,"Owensboro, KY","113,636","112,945","112,267","111,534","110,943","110,590","110,420","110,015","109,889","110,006","109,876","109,875"
37100,,"Oxnard-Thousand Oaks-Ventura, CA","802,983","794,778","789,671","788,073","786,058","787,749","783,840","776,560","765,278","756,366","753,186","753,197"
37340,,"Palm Bay-Melbourne-Titusville, FL","536,357","536,314","534,407","530,319","526,088","515,890","502,985","494,239","485,810","477,735","476,230","476,230"
37380,,"Palm Coast, FL","91,622","90,700","88,088","82,285","75,420","68,241","62,154","57,432","53,715","50,560","49,832","49,832"
37460,,"Panama City-Lynn Haven-Panama City Beach, FL","164,767","163,802","163,300","163,802","161,586","157,841","154,726","152,213","149,807","148,258","148,218","148,217"
37620,,"Parkersburg-Marietta-Vienna, WV-OH","160,905","160,921","160,925","161,228","161,887","162,591","162,692","163,375","163,893","164,443","164,619","164,624"
37700,,"Pascagoula, MS","155,603","154,510","153,001","149,755","155,330","154,636","153,078","152,319","152,025","151,034","150,564","150,564"
37860,,"Pensacola-Ferry Pass-Brent, FL","455,102","453,132","450,333","449,566","444,840","440,052","433,589","427,823","420,362","413,171","412,153","412,153"
37900,,"Peoria, IL","375,865","372,638","371,015","368,746","367,334","366,024","364,769","365,454","365,146","366,602","366,876","366,899"
37980,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,968,252","5,940,496","5,912,678","5,880,912","5,850,621","5,822,876","5,787,788","5,755,874","5,722,541","5,693,275","5,687,158","5,687,147"
37980,15804,".Camden, NJ","1,253,907","1,251,399","1,249,929","1,245,614","1,238,102","1,231,771","1,221,422","1,209,619","1,196,535","1,188,535","1,187,012","1,186,999"
37980,37964,".Philadelphia, PA","4,012,573","3,991,897","3,969,582","3,946,328","3,929,505","3,914,630","3,896,671","3,882,567","3,868,053","3,852,150","3,849,638","3,849,647"
37980,48864,".Wilmington, DE-MD-NJ","701,772","697,200","693,167","688,970","683,014","676,475","669,695","663,688","657,953","652,590","650,508","650,501"
38060,,"Phoenix-Mesa-Scottsdale, AZ","4,364,094","4,287,323","4,175,595","4,046,571","3,884,588","3,723,359","3,600,163","3,496,957","3,388,445","3,278,661","3,251,888","3,251,876"
38220,,"Pine Bluff, AR","100,694","101,307","101,843","102,930","103,680","104,536","105,417","105,994","106,496","107,236","107,348","107,341"
38300,,"Pittsburgh, PA","2,354,957","2,355,391","2,357,141","2,361,482","2,372,328","2,387,819","2,400,193","2,408,973","2,418,223","2,429,023","2,431,086","2,431,087"
38340,,"Pittsfield, MA","129,288","129,571","130,219","130,494","131,268","132,052","132,672","133,101","133,723","134,787","134,953","134,953"
38540,,"Pocatello, ID","90,273","88,984","87,880","87,246","86,201","85,796","84,756","84,692","84,191","83,171","83,103","83,103"
38860,,"Portland-South Portland-Biddeford, ME","516,826","516,026","513,791","512,073","511,498","509,528","506,179","500,966","495,448","489,359","487,565","487,568"
38900,,"Portland-Vancouver-Beaverton, OR-WA","2,241,841","2,203,745","2,163,577","2,123,960","2,084,053","2,052,776","2,034,000","2,010,666","1,975,589","1,936,108","1,927,883","1,927,881"
38940,,"Port St. Lucie, FL","406,296","404,726","399,326","387,481","376,043","362,249","347,111","335,953","326,877","320,593","319,426","319,426"
39100,,"Poughkeepsie-Newburgh-Middletown, NY","677,094","672,020","668,041","664,857","661,660","658,199","651,697","641,990","633,211","624,156","621,524","621,517"
39140,,"Prescott, AZ","215,686","214,930","212,004","206,672","197,533","189,532","183,400","178,390","173,285","168,886","167,516","167,517"
39300,,"Providence-New Bedford-Fall River, RI-MA","1,600,642","1,599,312","1,599,496","1,603,830","1,609,677","1,616,874","1,617,323","1,608,751","1,596,350","1,586,744","1,582,997","1,582,997"
39340,,"Provo-Orem, UT","555,551","539,754","522,453","491,423","463,583","442,891","418,064","405,742","396,239","379,919","376,778","376,774"
39380,,"Pueblo, CO","157,224","156,009","154,348","151,814","149,677","148,578","147,931","146,735","144,130","141,839","141,472","141,472"
39460,,"Punta Gorda, FL","156,952","157,736","157,235","154,885","153,407","156,281","152,138","149,473","146,008","142,246","141,627","141,627"
39540,,"Racine, WI","200,601","200,109","199,603","198,398","197,025","194,891","193,119","191,469","190,000","188,991","188,833","188,831"
39580,,"Raleigh-Cary, NC","1,125,827","1,090,408","1,045,871","998,979","953,157","916,790","889,313","863,488","835,602","804,436","797,110","797,071"
39660,,"Rapid City, SD","124,766","122,697","120,599","119,112","117,975","117,503","115,849","115,235","114,177","113,008","112,818","112,818"
39740,,"Reading, PA","407,125","404,771","402,476","399,279","393,788","389,177","384,547","380,629","377,155","374,521","373,638","373,638"
39820,,"Redding, CA","181,099","180,515","179,334","178,449","177,537","176,467","174,417","171,141","166,968","163,782","163,256","163,256"
39900,,"Reno-Sparks, NV","419,261","416,657","410,616","402,383","394,881","385,049","374,743","365,239","355,153","344,808","342,885","342,885"
40060,,"Richmond, VA","1,238,187","1,227,115","1,212,476","1,195,634","1,174,017","1,155,330","1,139,312","1,125,329","1,111,363","1,100,196","1,096,944","1,096,957"
40140,,"Riverside-San Bernardino-Ontario, CA","4,143,113","4,092,831","4,048,913","3,968,504","3,861,335","3,745,320","3,611,625","3,483,348","3,376,256","3,277,578","3,254,817","3,254,821"
40220,,"Roanoke, VA","300,399","298,920","296,975","294,767","292,054","290,386","289,522","288,858","288,709","288,503","288,299","288,309"
40340,,"Rochester, MN","185,618","183,394","180,773","178,749","176,068","174,150","171,822","169,489","166,678","164,427","163,617","163,618"
40380,,"Rochester, NY","1,035,566","1,033,155","1,031,485","1,031,458","1,033,470","1,038,019","1,039,674","1,041,120","1,041,069","1,041,595","1,037,836","1,037,831"
40420,,"Rockford, IL","353,722","353,381","350,765","344,269","338,877","334,622","331,209","327,080","323,992","321,042","320,206","320,204"
40580,,"Rocky Mount, NC","146,596","146,524","145,519","144,532","143,826","143,721","143,465","143,359","143,343","143,045","142,992","143,026"
40660,,"Rome, GA","96,250","95,696","95,117","94,973","94,159","93,864","93,461","92,612","91,165","90,811","90,565","90,565"
40900,,"Sacramento--Arden-Arcade--Roseville, CA","2,127,355","2,101,138","2,075,119","2,050,618","2,028,664","2,004,144","1,967,052","1,921,903","1,865,891","1,808,442","1,796,852","1,796,857"
40980,,"Saginaw-Saginaw Township North, MI","200,050","200,858","202,006","204,728","206,426","207,774","208,182","209,054","209,363","209,931","210,040","210,039"
41060,,"St. Cloud, MN","189,148","187,672","186,075","183,771","181,477","179,458","177,998","175,136","171,693","168,045","167,403","167,392"
41100,,"St. George, UT","137,473","135,678","132,298","126,720","119,119","110,294","104,274","99,432","94,624","91,256","90,354","90,354"
41140,,"St. Joseph, MO-KS","126,644","126,051","125,737","124,357","123,580","123,467","123,979","123,963","123,968","123,967","123,820","122,336"
41180,,"St. Louis, MO-IL","2,828,990","2,818,688","2,806,368","2,791,682","2,773,155","2,759,153","2,743,862","2,733,818","2,719,279","2,701,634","2,698,664","2,698,687"
41420,,"Salem, OR","396,103","390,561","385,065","378,682","371,482","366,499","362,463","358,302","352,544","348,222","347,217","347,214"
41500,,"Salinas, CA","410,370","405,660","402,116","401,374","405,090","408,867","410,419","409,210","407,065","403,065","401,761","401,762"
41540,,"Salisbury, MD","120,181","119,990","119,563","118,077","116,040","114,287","112,757","111,368","110,460","109,582","109,391","109,391"
41620,,"Salt Lake City, UT","1,130,293","1,111,600","1,092,594","1,072,748","1,044,845","1,030,597","1,016,377","1,001,874","988,989","972,653","968,883","968,858"
41660,,"San Angelo, TX","110,119","109,152","108,245","107,669","106,662","106,512","106,395","105,781","105,554","105,812","105,781","105,781"
41700,,"San Antonio, TX","2,072,128","2,030,691","1,984,766","1,932,720","1,878,120","1,843,927","1,808,267","1,777,397","1,743,796","1,719,262","1,711,716","1,711,703"
41740,,"San Diego-Carlsbad-San Marcos, CA","3,053,793","3,019,274","2,975,656","2,947,222","2,941,770","2,935,672","2,926,814","2,901,235","2,867,094","2,824,987","2,813,834","2,813,833"
41780,,"Sandusky, OH","76,963","77,339","77,365","77,555","77,778","78,361","78,471","78,644","79,228","79,603","79,551","79,551"
41860,,"San Francisco-Oakland-Fremont, CA","4,317,853","4,260,236","4,202,186","4,162,783","4,149,607","4,143,522","4,153,143","4,165,678","4,179,628","4,136,658","4,123,745","4,123,740"
41860,36084,".Oakland-Fremont-Hayward, CA","2,532,756","2,495,790","2,459,562","2,439,496","2,435,724","2,434,528","2,438,630","2,441,022","2,440,405","2,403,412","2,392,561","2,392,557"
41860,41884,".San Francisco-San Mateo-Redwood City, CA","1,785,097","1,764,446","1,742,624","1,723,287","1,713,883","1,708,994","1,714,513","1,724,656","1,739,223","1,733,246","1,731,184","1,731,183"
41940,,"San Jose-Sunnyvale-Santa Clara, CA","1,839,700","1,810,646","1,778,432","1,754,557","1,737,313","1,724,074","1,723,138","1,728,245","1,745,147","1,739,669","1,735,818","1,735,819"
42020,,"San Luis Obispo-Paso Robles, CA","266,971","265,134","261,706","259,366","257,567","256,095","254,240","252,932","251,499","247,878","246,681","246,681"
42060,,"Santa Barbara-Santa Maria-Goleta, CA","407,057","403,655","400,499","398,656","400,256","401,130","402,366","402,079","401,456","399,784","399,356","399,347"
42100,,"Santa Cruz-Watsonville, CA","256,218","252,929","250,126","248,758","248,957","250,420","251,559","253,708","255,644","255,834","255,600","255,602"
42140,,"Santa Fe, NM","147,532","145,362","143,369","141,432","139,809","138,204","136,576","134,577","131,651","129,840","129,295","129,292"
42220,,"Santa Rosa-Petaluma, CA","472,102","466,424","461,424","459,783","461,359","463,211","463,715","463,593","464,454","460,411","458,616","458,614"
42340,,"Savannah, GA","343,092","334,562","329,518","321,356","314,190","310,310","304,965","301,662","297,013","293,668","293,302","293,000"
42540,,"Scranton--Wilkes-Barre, PA","549,454","549,321","549,212","547,986","548,529","549,039","550,507","552,490","555,681","559,537","560,636","560,625"
42660,,"Seattle-Tacoma-Bellevue, WA","3,407,848","3,356,637","3,307,360","3,259,945","3,202,388","3,163,703","3,138,938","3,121,895","3,094,380","3,052,379","3,043,897","3,043,878"
42660,42644,".Seattle-Bellevue-Everett, WA","2,611,012","2,569,538","2,533,311","2,495,704","2,452,920","2,422,382","2,402,678","2,393,340","2,378,132","2,348,394","2,343,078","2,343,058"
42660,45104,".Tacoma, WA","796,836","787,099","774,049","764,241","749,468","741,321","736,260","728,555","716,248","703,985","700,819","700,820"
42680,,"Sebastian-Vero Beach, FL","135,167","134,293","132,837","129,980","126,778","124,105","119,836","117,807","115,324","113,387","112,943","112,947"
43100,,"Sheboygan, WI","114,560","114,458","114,113","113,830","113,650","113,223","112,956","112,964","112,878","112,742","112,656","112,646"
43300,,"Sherman-Denison, TX","120,030","118,786","118,191","117,030","115,526","114,908","114,358","113,256","112,375","110,993","110,595","110,595"
43340,,"Shreveport-Bossier City, LA","391,516","389,389","387,662","387,166","381,444","379,457","376,825","376,140","375,926","376,127","375,971","375,965"
43580,,"Sioux City, IA-NE-SD","144,360","142,764","141,948","141,371","140,713","141,852","141,943","142,280","142,490","143,005","143,052","143,053"
43620,,"Sioux Falls, SD","238,122","233,503","227,961","222,072","215,259","209,325","203,151","197,895","193,493","188,344","187,095","187,093"
43780,,"South Bend-Mishawaka, IN-MI","317,538","318,129","316,944","316,071","315,730","315,680","315,623","316,202","316,657","316,977","316,661","316,663"
43900,,"Spartanburg, SC","286,822","282,520","276,725","270,735","265,919","263,028","261,085","259,155","256,794","254,418","253,784","253,791"
44060,,"Spokane, WA","468,684","462,408","456,187","447,211","440,145","435,011","430,867","427,045","422,803","418,826","417,939","417,939"
44100,,"Springfield, IL","208,182","207,305","206,363","205,681","205,016","204,786","204,323","203,959","202,785","201,586","201,444","201,437"
44140,,"Springfield, MA","698,903","696,869","694,725","693,366","691,924","690,553","689,157","685,689","681,620","680,453","680,016","680,014"
44180,,"Springfield, MO","430,900","426,125","419,981","410,795","400,373","392,696","385,508","379,655","374,733","369,775","368,375","368,374"
44220,,"Springfield, OH","139,671","139,818","140,187","140,875","141,543","141,565","141,915","143,412","143,929","144,661","144,741","144,742"
44300,,"State College, PA","146,212","145,550","144,089","144,037","141,643","141,140","140,606","139,341","136,874","135,930","135,762","135,758"
44700,,"Stockton, CA","674,860","668,753","665,246","659,897","654,451","640,964","625,236","608,367","591,000","567,968","563,603","563,598"
44940,,"Sumter, SC","104,495","104,313","104,223","104,291","104,885","105,245","104,891","104,901","104,233","104,655","104,636","104,646"
45060,,"Syracuse, NY","646,084","645,016","644,437","644,844","646,130","649,089","649,679","648,854","648,961","649,817","650,156","650,154"
45220,,"Tallahassee, FL","360,013","357,171","353,548","347,359","341,471","336,783","332,429","327,044","323,975","321,372","320,309","320,304"
45300,,"Tampa-St. Petersburg-Clearwater, FL","2,747,272","2,730,007","2,711,222","2,684,639","2,638,814","2,578,104","2,522,780","2,483,575","2,442,189","2,404,273","2,396,014","2,395,997"
